"y","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9-4","x_10-3","x_11-6","x_12-6","x_13-6","x_14-6","x_15-6","x_16-2","x_17-6","x_18-4","x_19-6","x_20-5","x_21-6","x_22","x_23","x_24-6","x_25","x_26","x_27","x_28-1","x_29","x_30","x_31","x_32-2","x_33-3","x_34","x_35","x_36-6","x_37-3","x_38-3","x_39-2","x_40-6","x_41","x_42-4","x_43","x_44","x_45-6","x_46","x_47","x_48","x_49","x_50","x_51-6","x_52-6","x_53","x_54","x_55-5","x_56","x_57","x_58","x_59-6","x_60-4","x_61-6","x_62","x_63","x_64","x_65-5","x_66-3","x_67-1","x_68","x_69-2","x_70","x_71","x_72-5","x_73-2","x_74-1","x_75","x_76-3","x_77","x_78-1","x_79-1","x_80","x_81-6","x_82-3","x_83-2","x_84-6","x_85-3","x_86","x_87","x_88-2","x_89","x_90","x_91","x_92","x_93","x_94","x_95-5","x_96-6","x_97-1","x_98","x_99","x_100","x_101","x_102-6","x_103","x_104","x_105","x_106-6","x_107-6","x_108-4","x_109-3","x_110-6","x_111-5"
10971,9.8,9830.9,302645,215.861,53.4,157068,52.6,721,556,4120000,383827,40.3,36.3,28.6,41.9,32.5,54,43.5,35.5,44,33,5.9,650,11,174350,294559,37.3,43.3,47998,23663,52064,173,44097,32948,1219,8806,2001,196,126.28215,99.84,6036,22.58,138818,111991,27617,43676,52186,10580,34147,7098,1949,20.9,2434,127,2592,1644,3846,307946,-2,540,11,85.9988,68.9,374553,1.46,100.3,815154,242034,98.2,1180775,1962.6,197212,64.15,2.616,2.99,0.846,2.626,175,173.9,171.6,2.82,1.15,126.2821503,2.7,427.802,84.032,91.767,6.418,147.842,91673,136267,-44594,85.9988,1314047,1.45,876.708,14.567,8.422057137,15.28205714,12082.8,10906.3,4353,2579.3304,3.25,0.15,5.5,8.42,252,1.1264,14.6466,1.3199
12255,10,9849.5,305423,216.509,48.7,162306,44.5,746,601,4320000,369824,46.5,39,33.2,44.4,36,49.5,50,40.5,48,42,5.4,592.1,10.7,174703,294976,37,43.2,46700,23442,51948,184.1,44112,33511,4813,7784,2286,192,152.55009,98.44,5958,22.51,138432,111599,27840,44431,52981,10194,33884,7224,2025,21.7,2376,127,2118,1670,3746,308189,-1.63,585,10.7,86.3075,69.3,377616,1.45,102.6,823986,252683,99.3,1220057,1957.1,204193,71.05,2.554,4.01,0.752,2.672,174.1,173.5,171.5,2.93,1.04,152.5500946,2.83,446.916,88.838,95.327,7.057,155.369,94829,139309,-44480,86.3075,1321385,1.43,864.7608,9.346,9.776031706,16.77603171,12072.7,10861.6,4344.3,2575.3969,3.25,0.12,5.39,8.39,189,1.1229,13.4035,1.3646
11302,9.9,9848.1,308706,217.234,50.6,161082,42.3,844,595,4400000,366137,49,42.7,34.8,49.2,41.5,46,55,48,49.5,42.5,5.7,628.5,9.3,177439,295729,37.9,43,48582,24066,52415,173.5,44559,33101,1215,7176,2251,188,145.44437,91.44,5822,22.73,138659,111274,27280,43888,52263,10207,34249,7222,1832,22.4,2419,147,2123,1786,3966,308418,-1.14,594,9.3,86.6403,69.7,385160,1.4,104.5,845758,237342,99.3,1169623,1824.1,191876,69.41,2.551,3.66,0.906,2.792,175.2,174.3,172.1,3.29,14.89,145.4443665,3.31,458.276,94.729,91.258,7.869,147.915,94635,143475,-48840,86.6403,1330066,1.38,860.8312,10.37,11.81458717,18.74458717,12128.8,10886.9,4447.5,2558.5698,3.25,0.12,5.54,8.06,168,1.0872,13.1895,1.4014
11681,9.9,9896.8,310030,217.347,53.6,158739,36.6,750,616,4580000,354548,51.7,55.4,40.7,50.4,46.5,43.5,65,47.5,50.5,46,5.7,626.3,8.5,181096,295096,37.4,43.5,50902,24988,53077,193.1,44687,30718,976,8311,2126,181,138.13055,64.44,5566,22.78,138013,109875,26811,43752,52131,10123,33803,6886,1722,23.9,2490,180,2237,1690,3819,308633,-0.79,586,8.5,86.93,70,390550,1.39,104.6,862809,239774,98.3,1095082,1985.4,200588,75.72,2.651,5.35,0.946,2.745,177.4,176.6,172.1,3.72,10.71,138.1305542,3.01,416.856,133.47,94.698,5.682,155.732,98293,147620,-49327,86.93,1328489,1.36,854.3547,10.817,12.71412312,19.64412312,12175.1,10924.7,4472.1,2552.8213,3.25,0.12,5.61,7.5,132,1.0816,13.3414,1.4092
11356,9.8,9881.7,310791,217.488,56.5,181005,38.9,689,609,4980000,344862,57.6,59.9,47.1,52.2,39.5,42.5,63.5,50,55.5,50,5.6,619.1,7.9,184711,296359,37.8,43.5,52228,24174,51392,211,54466,32613,436,9162,2112,207,116.16232,4.96,5197,22.73,138438,108777,26871,43574,52159,9898,33879,6751,1796,25.1,2706,140,2063,1674,3903,308833,-0.22,585,7.9,87.99,71,394551,1.36,104.1,871455,220177,101.1,1160442,2008.3,188445,77.99,2.607,5.83,1.008,2.845,178.1,177.1,172.5,3.56,12.99,116.1623154,3.07,430.992,150.481,89.715,5.945,147.944,98302,146808,-48506,87.99,1330565,1.32,849.2076,11.06,12.42111139,19.28111139,12188.1,10906.7,4520.6,2541.7383,3.25,0.11,5.41,7.09,118,1.0547,13.3623,1.4266
11139,9.8,9911.3,310184,217.281,46.4,175850,40.7,670,583,5380000,334225,66.6,62.4,46.1,56.5,41.5,39,65,52.5,55,49.5,5.2,570.2,7.5,180472,298213,37.3,43.9,48196,24797,52512,208.6,53159,33856,390,10744,1904,191,121.22102,1.44,5088,23.06,138581,109100,26211,43313,52324,9369,34425,7161,1683,25.3,2561,162,2095,1737,3778,309027,0.13,534,7.5,88.2232,71.4,392888,1.33,106,892847,210968,101.5,1091829,2040.3,195970,74.47,2.715,5.32,1.076,2.785,181.9,178.9,172.6,3.59,14.47,121.2210236,2.69,426.054,132.777,81.431,6.662,135.066,99555,150520,-50965,88.2232,1337866,1.31,848.9913,10.668,11.95133636,18.81133636,12165.5,10887.5,4564.8,2531.151,3.25,0.13,5.26,6.58,114,1.0593,13.0063,1.4575
12494,9.9,9960.1,317644,217.353,52.3,179451,54.7,635,623,4530000,322378,63.3,61.2,47.8,58.4,46,39,55,53.5,55.5,52,5,548.7,7.8,182687,299564,37.7,43.6,49437,25779,55376,241.5,53122,32898,1314,11112,2285,168,149.35928,0.66,5213,22.93,138751,109877,27088,43570,52163,9889,34527,7063,1753,26.6,2652,152,1972,1809,4189,309212,0.55,588,7.8,88.8923,72.1,400455,1.32,107,895310,251858,103.1,1279724,1917.2,188082,78.33,2.644,4.29,1.19,2.915,181,177.7,172.9,3.4,13.16,149.3592834,2.54,507.548,114.405,92.597,4.978,155.097,103530,153982,-50452,88.8923,1346612,1.31,846.8992,10.108,12.18617144,19.11617144,12207.6,10912,4626.6,2538.1078,3.25,0.16,5.13,6.31,113,1.0537,13.406,1.4821
11259,9.9,9972.7,319587,217.403,57.7,186904,62,737,664,4190000,308575,59.9,63,52.4,58.4,49,38.5,61.5,53.5,56,51,5.6,625.8,7.4,188127,301979,39,44.2,50686,25518,53873,229.8,48576,31366,788,21579,2390,223,132.79865,0.32,5418,23.01,139297,111391,27489,43778,52355,10447,34723,7105,1804,27.5,3097,179,1863,1896,4087,309191,0.89,581,7.4,89.2429,72.5,405057,1.3,107.8,920805,254014,105.2,1260954,1841.1,203418,76.39,2.772,4.03,1.312,3.059,183.3,178.9,172.9,3.39,13.33,132.798645,4.29,521.88,90.1,92.792,5.593,154.371,102397,153706,-51309,89.2429,1352841,1.29,842.0938,11.553,12.10677075,19.03677075,12297,10993.2,4705.3,2533.1479,3.25,0.2,5.15,6.29,111,1.0438,13.2275,1.4908
10821,9.6,10001.3,317540,217.29,62.7,185592,56.2,702,636,4270000,299212,60.6,62.7,51.7,57.5,56.5,37,70,52,54.5,51.5,6,673.7,7.6,188499,304525,38.1,44.4,50543,26548,55783,226.8,44313,30764,1169,10606,1432,141,137.47002,0.16,5561,22.98,139241,112809,27858,43561,51839,10655,34409,7261,1899,28.9,2900,191,1981,1777,4368,309376,1,614,7.6,90.6351,73.8,402430,1.29,108.8,906587,257401,105.3,1272845,1982.3,200539,81.2,2.848,4.14,1.284,3.069,184.4,178.9,173.4,3.4,12.5,137.4700165,1.63,469.427,86.027,96.347,7.868,158.63,105517,158128,-52611,90.6351,1354930,1.28,841.2596,11.249,11.60354893,18.32354893,12390.7,11067,4776.6,2525.4309,3.25,0.2,5.19,6.32,99,1.0572,13.1115,1.4579
13117,9.4,10021.2,316946,217.199,54.3,186094,53.8,894,650,4490000,286689,63,62.3,51.6,58.3,50.5,35,67,50,58.5,55,5.9,657.5,8,188014,308377,38.3,45.2,52518,26803,59059,216,43436,30944,517,11875,1482,126,137.07739,0.2,5698,23.01,139141,113856,28078,43868,51414,10727,33957,6899,1818,29.7,2728,205,1872,1909,4074,309562,1.14,604,8,90.8407,74.1,402111,1.28,108.9,930279,260159,106.4,1215864,2010.3,200332,84.29,2.836,4.8,1.136,2.948,184.8,178.9,173.6,3.59,13.58,137.0773926,3.08,467.559,87.837,94.517,6.89,156.349,104494,162202,-57708,90.8407,1366857,1.27,835.3843,11.822,10.52156059,17.10156059,12408.9,11071.3,4815.5,2521.9287,3.25,0.18,5.26,6.37,99,1.0229,12.8622,1.4266
11846,9.4,10027.4,317342,217.605,51,190113,51.5,572,687,4820000,267563,62.9,64.7,53.6,59,46,32,75,56,56.5,56.5,5.9,663.3,8.1,194538,309974,38.2,44.7,56396,25794,56122,205.9,46909,29913,876,6478,1513,123,151.10342,0.08,5763,23.01,139179,113974,28033,43725,50974,10286,33844,6579,1727,30.3,2929,220,1795,1841,4121,309767,1.11,636,8.1,91.4132,74.7,409098,1.29,109.4,947664,265861,106.4,1244915,2026.9,183802,73.74,2.732,4.63,1.137,2.911,183.5,178.3,173.7,3.73,20.25,151.1034241,2.62,419.429,97.38,97.728,6.277,162.027,107246,159664,-52418,91.4132,1378257,1.28,819.23,11.385,10.74077848,17.32077848,12450,11080.5,4840.8,2518.6762,3.25,0.18,5.26,6.25,100,1.0052,12.8096,1.368
14066,9.5,10074.8,319389,217.923,53.2,192395,56.3,592,637,4880000,266904,57.1,58.4,54.6,59.8,46,37,78,61,61.5,56,5.8,654.4,8.3,195098,311588,38.6,44.9,55308,26950,58310,207.7,49452,30665,894,7901,1610,97,140.56915,0.12,5819,22.97,139438,113508,28103,43460,50879,10189,34458,6515,1842,29.8,2869,183,1879,1864,3914,309989,1.43,687,8.3,91.673,75,411863,1.28,109,964973,264358,106.3,1310410,2062.9,200331,75.34,2.729,4.32,1.082,2.959,184.1,178.5,173.9,3.69,21.05,140.5691528,2.01,434.959,100.259,97.231,7.37,161.929,107428,164528,-57100,91.673,1389684,1.26,811.8586,11.715,10.65017754,17.30017754,12515.4,11114.7,4896.3,2519.2856,3.25,0.19,5.35,6.34,96,1.0403,12.9396,1.357
14402,9.5,10087.1,322140,218.275,48.6,200468,53,632,575,4450000,266899,61.4,60.7,54,61.3,49,39,77.5,58,61,57,5.6,632.3,7.1,196943,314780,38.5,45.7,56403,27682,59384,216.1,52184,30910,1032,11285,1934,105,180.01445,0.04,5733,23.03,139396,112385,28106,44488,51757,10143,34460,6681,1823,31.6,2782,200,1660,1901,3995,310218,1.4,583,7.1,91.9146,75.3,415903,1.27,108.7,976470,244712,107.1,1271475,2029,208861,76.32,2.73,3.89,1.037,2.946,184.9,179.4,174.3,3.73,13.58,180.0144501,2.3,457.122,87.164,92.69,7.13,155.028,107734,163835,-56101,91.9146,1406819,1.25,887.2665,11.802,10.61831225,17.26831225,12522.9,11101.2,4925.1,2522.8307,3.25,0.19,5.27,6.27,109,1.0376,12.5673,1.3417
14657,9.4,10136.8,327230,219.035,49.9,194374,45.4,605,587,3450000,267444,62.4,63,55.6,58.9,53,33,57,57.5,62,58,5.4,610.5,6.2,196164,317318,38.9,44.9,55752,26957,57360,217.7,52375,32555,1462,14826,2069,131,147.3091,0.04,5733,23.01,139119,112342,27912,44370,51818,9908,34186,6817,1888,33.3,3026,201,1760,1875,4050,310451,1.04,536,6.2,91.6296,75.1,417324,1.28,109.8,969794,256867,106.7,1322853,1957,206845,76.6,2.705,3.43,1.01,3.052,184.9,180.1,174.3,3.85,4.76,147.3090973,2.38,484.505,88.603,94.519,8.018,157.022,112730,165302,-52572,91.6296,1420766,1.26,1163.2099,11.703,10.56669515,17.14669515,12588.8,11128.3,4985.9,2531.6118,3.25,0.19,5.29,6.25,135,1.0422,12.2396,1.2563
15770,9.8,10175.2,329288,219.59,57.8,196504,40.6,552,579,3680000,264186,63.1,64.6,57.1,60.8,56,32,57.5,59.5,56,56.5,5.3,605.5,9.3,195835,320464,38.8,44.6,53617,27285,59706,199,51077,34484,1150,13210,1943,145,182.1467,0.04,5628,23.24,139044,111348,26688,44101,51532,9943,34178,6816,1903,34,3072,216,1978,1838,4110,310657,1.06,546,9.3,91.8108,75.3,423582,1.29,108.7,966716,239656,107,1227151,2004.8,195446,75.24,2.801,3.71,1.072,3.14,186.6,181.6,174.3,3.42,8.57,182.146698,3.32,490.616,105.254,89.302,7.749,149.976,113521,164893,-51372,91.8108,1430465,1.27,1155.4145,12.199,10.88454478,17.74454478,12648.5,11160.8,5062.9,2532.7119,3.25,0.19,4.96,6.05,129,1.0404,12.7262,1.2223
13246,9.3,10186.4,331768,220.472,63.4,194141,33.8,565,580,3840000,264409,60,62.2,55.9,57.8,53,38,61.5,57,56.5,56.5,5.9,675.4,8.3,199825,322933,38.8,45,56094,29434,60709,207.9,51782,31726,2410,15999,1847,136,163.42491,0.58,5369,23.38,139301,111207,26026,44170,51704,9924,34470,6884,1810,34.5,2909,189,2091,1966,4180,310853,0.91,599,8.3,92.5893,76,433048,1.28,109.5,963913,240932,107.9,1195311,2155.4,208611,81.89,2.859,4.25,1.132,3.243,187.7,182.4,174.6,3.2,14.93,163.4249115,3.49,441.704,145.274,93.307,6.195,155.518,116039,170290,-54251,92.5893,1447247,1.27,1148.3569,12.07,10.73779302,17.24779302,12768.6,11239,5081.7,2647.4275,3.25,0.18,4.88,6.23,117,1.033,12.7102,1.2811
